ano;id_aluno;id_escola;id_municipio;nome_municipio;sigla_uf;regiao;rede;serie;caderno;peso_aluno;mun_ctx_taxa_alfabetizacao;mun_ctx_media_portugues;mun_ctx_nivel_alfabetizacao;mun_ctx_percentual_participacao;mun_meta_2024;mun_meta_2030;mun_gap_projetado;mun_esforco_anual_requerido;uf_ctx_taxa_alfabetizacao;uf_ctx_media_portugues;uf_ctx_ranking_nacional;uf_meta_2030;escola_n_alunos_avaliados;mun_n_alunos_avaliados;mun_n_escolas;proficiencia;nao_alfabetizado;ibge_populacao;ibge_pib_per_capita;ibge_densidade_demografica;ibge_log_populacao
2024;11000053;60000064;1100023;Ariquemes;RO;Norte;municipal;2;13;1,25;62,3;757,0999;3,0;89,275;65,22;80,0;2,92;2,529;64,6;759,44;5,0;80,0;68;1066;18;766,13;0;108573,0;40376,66;20,41;11,5952
2024;11000268;60000067;1100023;Ariquemes;RO;Norte;municipal;2;2;1,17;62,3;757,0999;3,0;89,275;65,22;80,0;2,92;2,529;64,6;759,44;5,0;80,0;70;1066;18;774,28;0;108573,0;40376,66;20,41;11,5952
2024;11000771;60000076;1100023;Ariquemes;RO;Norte;municipal;2;21;1,0;62,3;757,0999;3,0;89,275;65,22;80,0;2,92;2,529;64,6;759,44;5,0;80,0;70;1066;18;763,15;0;108573,0;40376,66;20,41;11,5952
2024;11001352;60000273;1100601;Cacaulândia;RO;Norte;municipal;2;11;1,0;54,63;738,6521;3,0;88,80000000000001;58,84;80,0;4,21;3,624;64,6;759,44;5,0;80,0;14;68;2;774,27;0;4345,0;55003,22;2,92;8,377
2024;11002165;60000177;1100049;Cacoal;RO;Norte;municipal;2;4;1,07;62,51;755,5645;3,0;88,505;65,39;80,0;2,88;2,499;64,6;759,44;5,0;80,0;132;951;19;773,6;0;97637,0;39416,08;20,72;11,489
2024;11002392;60000181;1100049;Cacoal;RO;Norte;municipal;2;14;1,1;62,51;755,5645;3,0;88,505;65,39;80,0;2,88;2,499;64,6;759,44;5,0;80,0;158;951;19;680,86;1;97637,0;39416,08;20,72;11,489
2024;11002550;60000182;1100049;Cacoal;RO;Norte;municipal;2;6;1,22;62,51;755,5645;3,0;88,505;65,39;80,0;2,88;2,499;64,6;759,44;5,0;80,0;150;951;19;704,61;1;97637,0;39416,08;20,72;11,489
2024;11002725;60000279;1100049;Cacoal;RO;Norte;municipal;2;16;1,03;62,51;755,5645;3,0;88,505;65,39;80,0;2,88;2,499;64,6;759,44;5,0;80,0;56;951;19;752,77;0;97637,0;39416,08;20,72;11,489
2024;11002912;60000220;1101203;Ministro Andreazza;RO;Norte;municipal;2;9;1,14;72,5;785,6432;3,5;94,975;73,67;80,0;1,17;1,071;64,6;759,44;5,0;80,0;71;82;2;726,94;1;6657,0;66138,2;12,97;8,8036
2024;11003018;60000209;1100056;Cerejeiras;RO;Norte;municipal;2;6;1,0;58,53;746,4629;2,5;94,28;62,09;80,0;3,56;3,067;64,6;759,44;5,0;80,0;52;244;4;779,88;0;16975,0;59286,54;6,12;9,7396
