ano;id_aluno;id_escola;id_municipio;nome_municipio;sigla_uf;regiao;rede;serie;caderno;peso_aluno;mun_ctx_taxa_alfabetizacao;mun_ctx_media_portugues;mun_ctx_nivel_alfabetizacao;mun_ctx_percentual_participacao;mun_meta_2024;mun_meta_2030;mun_gap_projetado;mun_esforco_anual_requerido;uf_ctx_taxa_alfabetizacao;uf_ctx_media_portugues;uf_ctx_ranking_nacional;uf_meta_2030;escola_n_alunos_avaliados;mun_n_alunos_avaliados;mun_n_escolas;proficiencia;nao_alfabetizado;ibge_populacao;ibge_pib_per_capita;ibge_densidade_demografica;ibge_log_populacao
2024;15001430;60002295;1500107;Abaetetuba;PA;Norte;municipal;2;7;1,0;39,73;725,5913;0,0;84,66499999999999;46,03;80,0;6,3;5,753;48,38;733,29;17,0;80,0;61;1270;39;737,19;1;170999,0;14275,48;87,61;12,0494
2024;29213618;60017070;2927408;Salvador;BA;Nordeste;municipal;2;9;1,0;39,16;726,7501;0,0;85,995;45,52;80,0;6,36;5,834;36,78;724,86;23,0;80,0;87;12158;264;687,11;1;2568928,0;29856,34;3859,35;14,759
2024;21013380;60006218;2110401;São Benedito do Rio Preto;MA;Nordeste;municipal;2;6;1,3;46,81;726,0404;0,5;81,15;52,21;80,0;5,4;4,741;56,43;749,92;10,0;80,0;41;183;7;714,28;1;18793,0;9922,52;19,11;9,8413
2024;35140187;60028498;3503307;Araras;SP;Sudeste;municipal;2;2;1,3684211;58,1;749,0684;2,0;92,13;61,73;80,0;3,63;3,129;51,91;740,39;15,0;80,0;45;1043;22;742,652566;1;135331,0;74061,91;184,3;11,8155
2024;25015177;60011167;2504603;Conde;PB;Nordeste;municipal;2;7;1,13;62,38;752,7814;3,0;92,875;65,28;80,0;2,9;2,517;51,12;741,6;16,0;80,0;48;406;9;819,88;0;29543,0;55793,25;123,74;10,2936
2024;43087077;60036316;4318705;São Leopoldo;RS;Sul;municipal;2;2;1,3157895;57,01;740,6327;1,0;74,225;60,83;80,0;3,82;3,284;63,43;747,39;6,0;80,0;34;1834;53;760,1070458;0;225669,0;52027,14;2083,79;12,3268
2024;41136991;60032983;4106506;Coronel Vivida;PR;Sul;municipal;2;11;1,04;80,52;764,3881;4,5;91,435;80,0;80,0;-0,52;-0,074;73,12;757,21;2,0;80,0;49;301;10;785,86;0;23859,0;46499,9;31,78;10,08
2024;13044661;60001307;1302603;Manaus;AM;Norte;municipal;2;6;1,38;52,2;736,11;2,0;73,57;56,8;80,0;4,6;3,971;52,2;736,47;13,0;80,0;206;23125;327;729,08;1;2279686,0;55994,46;158,06;14,6395
2024;29000935;60015423;2900355;Adustina;BA;Nordeste;municipal;2;9;1,0;44,68;729,4789;1,0;96,47999999999999;50,37;80,0;5,69;5,046;36,78;724,86;23,0;80,0;22;139;6;797,94;0;14554,0;18929,09;24,84;9,5857
2024;31064938;60022211;3106200;Belo Horizonte;MG;Sudeste;municipal;2;9;1,17;57,61;748,4681;2,5;84,09;61,33;80,0;3,72;3,199;59,81;751,71;8,0;80,0;57;16012;262;827,5;0;2416339,0;53882,2;7167,02;14,6978
2024;41034948;60032891;4121406;Realeza;PR;Sul;municipal;2;14;1,17;88,32;769,9501;4,5;90,83;80,0;80,0;-8,32;-1,189;73,12;757,21;2,0;80,0;34;208;7;751,17;0;19903,0;48183,04;46,23;9,8987
2024;35094881;60030885;3514106;Dois Córregos;SP;Sudeste;municipal;2;7;1,05;61,44;758,3221;2,5;91,095;64,5;80,0;3,06;2,651;51,91;740,39;15,0;80,0;63;249;5;728,8697848;1;24855,0;47760,89;39,12;10,1209
2024;35381411;60031454;3550308;São Paulo;SP;Sudeste;estadual;2;8;1,1304348;50,16;738,0494;0,5;84,24000000000001;44,37;80,0;-5,79;4,263;51,91;740,39;15,0;80,0;127;94373;1110;702,3336919;1;11895578,0;89682,49;7387,69;16,2917
2024;50029872;60039970;5000807;Anaurilândia;MS;Centro-Oeste;municipal;2;12;1,0;65,19;758,5781;4,0;97,96000000000001;67,61;80,0;2,42;2,116;47,45;735,95;18,0;80,0;85;105;2;800,95;0;7735,0;80634,78;2,5;8,9536
2024;23074990;60008012;2303709;Caucaia;CE;Nordeste;municipal;2;14;1,05;67,04;765,3228;3,0;95,655;69,14;80,0;2,1;1,851;84,46;795,68;1,0;80,0;123;3784;85;650,74;1;375730,0;26278,33;265,93;12,8366
