feature,queda_pr_auc,desvio
sigla_uf,0.28991823276372336,0.00781421492770588
meta_2024,0.1387203585784297,0.0058008262278209655
ctx_media_portugues,0.05561337766647254,0.004075066245123728
ibge_populacao,0.04526337570611264,0.004224673623041918
ibge_pib_per_capita,0.031009559363076745,0.0018433563443640234
ibge_densidade_demografica,0.030562300247377504,0.003191600405746564
gap_projetado,0.02574115590202921,0.0038119267737183127
ctx_taxa,0.01868736048911481,0.0021786061423894063
regiao,0.003931269507897128,0.0005512989248659409
n_alunos_avaliados,0.001955270647401852,0.0010971757943882452
n_escolas,0.0014581887486946998,0.0007759627801131918
ibge_log_populacao,0.0,0.0
rede,-1.7215130023373602e-05,0.0001686439185697506
