feature,shap_medio_abs
alta_card__id_escola,0.4083810760992071
alta_card__id_municipio,0.16627916595308825
num__mun_ctx_media_portugues,0.06958720554685972
num__peso_aluno,0.06820112094752745
num__mun_gap_projetado,0.03398970706685805
num__mun_ctx_taxa_alfabetizacao,0.03163411943099605
num__uf_ctx_media_portugues,0.023364533175515702
num__escola_n_alunos_avaliados,0.021685474339883114
cat__sigla_uf_RS,0.020510330236079767
num__uf_ctx_taxa_alfabetizacao,0.01487113372329365
num__ibge_pib_per_capita,0.012226218866211346
num__mun_n_alunos_avaliados,0.006912116074555542
cat__sigla_uf_MG,0.006341320946856178
cat__sigla_uf_BA,0.005946127412369368
num__ibge_densidade_demografica,0.005142144957275751
num__ibge_populacao,0.004798312782140777
cat__rede_estadual,0.0047245939139234335
cat__sigla_uf_SC,0.004584210774659587
cat__caderno_18,0.004069120886444511
cat__regiao_Centro-Oeste,0.0038666503528946984
num__mun_meta_2024,0.0036960378828513663
num__mun_n_escolas,0.0036631471177795342
cat__regiao_Nordeste,0.002937704771680612
cat__sigla_uf_SP,0.002841147700828788
cat__regiao_Sudeste,0.0027777367346064354
cat__caderno_8,0.00238132032961745
cat__caderno_10,0.0021409008232035377
cat__regiao_Sul,0.0017007064613683586
cat__caderno_13,0.0016264336156418104
num__uf_ctx_ranking_nacional,0.001459306967946255
cat__sigla_uf_PE,0.0011760960469476935
cat__caderno_5,0.0011146927764622912
cat__caderno_21,0.0010300121664081371
cat__caderno_1,0.0010134775490881558
cat__caderno_20,0.0009266169148191101
cat__caderno_14,0.0008903928705447729
cat__sigla_uf_PR,0.0008633250174075083
cat__sigla_uf_AM,0.000836811643241362
cat__sigla_uf_RJ,0.0007485343291105368
cat__caderno_17,0.0007046228251521552
cat__sigla_uf_RO,0.0006818105778297413
cat__sigla_uf_ES,0.00055031123987209
cat__caderno_16,0.0005433235382258995
cat__caderno_15,0.0005191379374178979
cat__caderno_7,0.0004599890669390556
cat__sigla_uf_PB,0.00039900382054258216
cat__sigla_uf_MT,0.0002858504897570561
cat__caderno_19,0.0002149097510862648
cat__sigla_uf_PA,0.00021285110435028006
num__ibge_log_populacao,0.00019736914075324402
cat__caderno_6,0.00016264667373928326
cat__sigla_uf_GO,0.00015455714417000167
cat__regiao_Norte,0.00014266342182415852
cat__caderno_3,0.00012872488878805014
cat__sigla_uf_MS,0.0001277925933786704
cat__sigla_uf_MA,0.00012439186796747847
cat__sigla_uf_AP,0.00012295042989164077
cat__caderno_2,0.000119549175107606
cat__rede_municipal,0.00011431413968520965
cat__caderno_11,6.680818538755744e-05
num__missingindicator_mun_meta_2024,6.359057660145687e-05
cat__caderno_9,6.170623572352048e-05
cat__caderno_4,5.835358722480275e-05
cat__caderno_12,5.550580017229413e-05
cat__sigla_uf_TO,5.319884263804327e-05
cat__sigla_uf_PI,4.7006948304382316e-05
cat__sigla_uf_RN,4.2746715460152935e-05
num__missingindicator_mun_ctx_taxa_alfabetizacao,1.9938709426416305e-05
cat__sigla_uf_AL,1.1500671653113272e-05
num__missingindicator_uf_ctx_taxa_alfabetizacao,1.1214447449197306e-05
num__missingindicator_mun_ctx_media_portugues,0.0
num__missingindicator_mun_gap_projetado,0.0
num__missingindicator_uf_ctx_media_portugues,0.0
cat__serie_2,0.0
cat__caderno_infrequent_sklearn,0.0
num__missingindicator_ibge_densidade_demografica,0.0
cat__rede_infrequent_sklearn,0.0
num__missingindicator_uf_ctx_ranking_nacional,0.0
cat__sigla_uf_CE,0.0
cat__sigla_uf_DF,0.0
cat__sigla_uf_AC,0.0
cat__sigla_uf_SE,0.0
