id_municipio,nome_municipio,sigla_uf,regiao,rede,ctx_taxa,meta_2024,gap_projetado,taxa_observada,meta_do_ano,nao_atingiu_meta,prob_nao_atingir_meta,faixa_risco,particao,n_alunos_avaliados,ibge_populacao,ibge_pib_per_capita
4305108,Caxias do Sul,RS,Sul,municipal,69.15,70.89,1.74,43.2,70.89,1,0.9979,critico,treino,2893.0,479256.0,78998.7
4311403,Lajeado,RS,Sul,publica,72.19,75.49,3.3,48.2,75.49,1,0.9976,critico,treino,,96651.0,69375.66
4318804,São Lourenço do Sul,RS,Sul,estadual,61.81,79.22,17.41,51.6,79.22,1,0.9975,critico,treino,65.0,43283.0,39729.13
4305108,Caxias do Sul,RS,Sul,publica,67.47,70.89,3.42,43.6,70.89,1,0.9974,critico,teste,,479256.0,78998.7
4310108,Igrejinha,RS,Sul,publica,77.71,80.0,2.29,47.7,80.0,1,0.9974,critico,treino,,34763.0,76406.73
4310108,Igrejinha,RS,Sul,estadual,62.15,80.0,17.85,34.0,80.0,1,0.9973,critico,treino,41.0,34763.0,76406.73
4302105,Bento Gonçalves,RS,Sul,estadual,66.19,77.77,11.58,44.3,77.77,1,0.9973,critico,treino,301.0,127775.0,70926.22
4306403,Dois Irmãos,RS,Sul,publica,79.87,78.68,-1.19,57.8,78.68,1,0.9972,critico,treino,,31769.0,83084.86
4318408,São Jerônimo,RS,Sul,publica,76.2,80.0,3.8,60.5,80.0,1,0.9971,critico,treino,,21421.0,33251.39
4310207,Ijuí,RS,Sul,publica,72.06,77.0,4.94,56.1,77.0,1,0.997,critico,treino,,87775.0,69555.61
4310108,Igrejinha,RS,Sul,municipal,80.14,80.0,-0.14,49.6,80.0,1,0.997,critico,treino,334.0,34763.0,76406.73
4310801,Ivoti,RS,Sul,publica,77.4,77.79,0.39,56.9,77.79,1,0.9967,critico,treino,,23533.0,65392.34
4311403,Lajeado,RS,Sul,estadual,63.66,75.49,11.83,50.7,75.49,1,0.9967,critico,treino,154.0,96651.0,69375.66
4304408,Canela,RS,Sul,publica,76.13,78.87,2.74,46.8,78.87,1,0.9967,critico,treino,,50613.0,38719.68
4309100,Gramado,RS,Sul,estadual,77.39,79.21,1.82,78.3,79.21,1,0.9967,critico,treino,42.0,41621.0,85673.82
4309100,Gramado,RS,Sul,publica,78.92,79.21,0.29,57.5,79.21,1,0.9967,critico,treino,,41621.0,85673.82
4304408,Canela,RS,Sul,estadual,72.11,78.87,6.76,55.4,78.87,1,0.9967,critico,treino,177.0,50613.0,38719.68
4322202,Tupanciretã,RS,Sul,estadual,62.08,73.19,11.11,41.2,73.19,1,0.9966,critico,teste,87.0,20345.0,62681.45
4317806,Santo Augusto,RS,Sul,estadual,70.78,78.05,7.27,59.1,78.05,1,0.9966,critico,treino,66.0,14196.0,51313.75
4315701,Rio Pardo,RS,Sul,publica,66.31,74.39,8.08,60.9,74.39,1,0.9965,critico,treino,,35666.0,34991.84
